root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.022754,0.226687,0.386911,-0.001709,0.122821,0.719332,0.68372,-0.531829,0.030525,0.024022,0.584866,-0.095177,-0.099236,-0.544864,-0.147353,0.078954,0.400008,-0.185283,0.031189,0.023568,0.561719,-0.56902,-0.908189,0.019241,0.054106,-0.582435,0.423267,-0.886674,-0.026169
0.020773,0.230058,0.38665,-0.001242,0.113859,0.71638,0.688356,-0.50602,0.026414,0.013898,0.514086,-0.09566,-0.097397,-0.512237,-0.1384,0.075486,0.389531,-0.19464,0.038417,0.031013,0.563233,-0.565269,-0.903594,0.021719,0.063546,-0.577277,0.410783,-0.883763,-0.039647
0.018139,0.233031,0.385962,-0.002298,0.103071,0.713619,0.692906,-0.477713,0.025946,0.007395,0.454615,-0.0916,-0.095675,-0.479706,-0.124385,0.075303,0.378271,-0.204271,0.041947,0.036642,0.56351,-0.564417,-0.89382,0.018294,0.072302,-0.573797,0.406378,-0.876047,-0.050038
0.015065,0.235512,0.385372,-0.003835,0.090711,0.711047,0.697259,-0.443113,0.029367,0.004764,0.40622,-0.086969,-0.091115,-0.44651,-0.108914,0.073615,0.367317,-0.210478,0.044627,0.03956,0.561741,-0.567585,-0.884906,0.016688,0.079385,-0.56604,0.405773,-0.862454,-0.059212
0.012316,0.238028,0.384703,-0.006299,0.079517,0.708904,0.70078,-0.410906,0.038043,0.006723,0.376166,-0.085386,-0.078172,-0.416833,-0.092692,0.071966,0.357384,-0.214265,0.044475,0.039372,0.557557,-0.573275,-0.869722,0.014718,0.082066,-0.554371,0.412525,-0.848647,-0.063186
0.007912,0.24006,0.384009,-0.012231,0.068032,0.708365,0.702453,-0.380781,0.051176,0.007107,0.346706,-0.097994,-0.05726,-0.391162,-0.074902,0.06994,0.343665,-0.215307,0.045879,0.031867,0.553048,-0.582625,-0.852358,0.006536,0.08316,-0.542732,0.424233,-0.830885,-0.056966
0.003042,0.241945,0.383237,-0.017622,0.057079,0.707092,0.704594,-0.354059,0.06338,0.0115,0.327153,-0.115413,-0.037902,-0.369439,-0.061153,0.070431,0.334219,-0.214016,0.048249,0.023457,0.549371,-0.590186,-0.834913,-0.005865,0.080571,-0.526516,0.439659,-0.808399,-0.045846
-0.00078,0.242718,0.38268,-0.023757,0.048035,0.706818,0.705363,-0.337774,0.076361,0.010186,0.31325,-0.133418,-0.020476,-0.359722,-0.047891,0.064774,0.334015,-0.213393,0.054075,0.010211,0.546343,-0.591375,-0.812388,-0.013571,0.074562,-0.506764,0.451183,-0.781855,-0.038341
-0.004846,0.242321,0.382364,-0.031943,0.040003,0.705744,0.706615,-0.334058,0.090305,0.007264,0.307256,-0.148405,-0.005594,-0.363021,-0.034711,0.056132,0.339111,-0.213112,0.062613,-0.00315,0.542121,-0.583465,-0.793338,-0.020111,0.069124,-0.489386,0.469324,-0.761243,-0.026789
-0.006375,0.241761,0.382327,-0.036757,0.035267,0.704937,0.707439,-0.333178,0.10092,0.004011,0.304713,-0.157224,0.004021,-0.365034,-0.025175,0.043317,0.341284,-0.214048,0.069128,-0.012543,0.540568,-0.576365,-0.781878,-0.013795,0.066846,-0.474812,0.485214,-0.761032,-0.031679
-0.007749,0.241932,0.382347,-0.041598,0.032946,0.704886,0.707333,-0.335307,0.108277,-0.000846,0.300632,-0.161755,0.008453,-0.369125,-0.018612,0.031628,0.340985,-0.214835,0.073414,-0.021277,0.537496,-0.570269,-0.768955,-0.011375,0.067362,-0.469036,0.510448,-0.768278,-0.03031
-0.009349,0.241368,0.382492,-0.0458,0.030426,0.704845,0.707227,-0.338027,0.113065,-0.010928,0.297477,-0.165122,0.012239,-0.374082,-0.013257,0.020832,0.34196,-0.211688,0.077643,-0.028303,0.535341,-0.564008,-0.761603,-0.003878,0.068696,-0.465969,0.528782,-0.783659,-0.040407
-0.010847,0.24088,0.38261,-0.049858,0.028446,0.705463,0.706418,-0.340755,0.11802,-0.018878,0.292238,-0.167179,0.014919,-0.381333,-0.008287,0.011578,0.346954,-0.206739,0.081137,-0.034919,0.533493,-0.558218,-0.755227,0.001768,0.067171,-0.465096,0.547187,-0.792711,-0.043928
-0.012199,0.240511,0.382781,-0.052925,0.026904,0.705056,0.706662,-0.340083,0.121268,-0.023779,0.284032,-0.168395,0.016138,-0.387173,-0.005151,0.004588,0.350931,-0.20083,0.083712,-0.038012,0.531775,-0.555576,-0.752635,0.0088,0.065384,-0.465119,0.559332,-0.800507,-0.047649
-0.013686,0.240299,0.382865,-0.055972,0.024803,0.70461,0.706949,-0.339182,0.124728,-0.029744,0.277763,-0.168367,0.017834,-0.39256,-0.001361,0.001115,0.356252,-0.194119,0.086248,-0.038564,0.53216,-0.554414,-0.752848,0.017846,0.064313,-0.465461,0.567205,-0.803712,-0.052636
-0.015219,0.240277,0.383006,-0.058774,0.023471,0.704586,0.70679,-0.338125,0.126584,-0.033402,0.270612,-0.168584,0.018238,-0.398781,6.8e-05,-0.002247,0.362878,-0.187163,0.089081,-0.039173,0.532916,-0.555658,-0.753419,0.022141,0.063142,-0.465653,0.568613,-0.803143,-0.054479
