root pos x,root pos y,root pos z,root rot w,root rot x,root rot y,root rot z,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.005677,-0.006462,0.356097,0.047956,0.084724,-0.077308,0.992243,-0.609341,0.226119,0.245179,0.682114,-0.287098,-0.052253,-0.536217,-0.226458,0.218663,0.752393,-0.538874,0.185862,-0.37838,0.670798,-0.909037,-1.008357,-0.366616,0.186425,-0.325734,0.5899,-1.823023,-1.193852
-0.00613,-0.006869,0.356108,0.049984,0.084183,-0.086673,0.991414,-0.602576,0.232786,0.266233,0.689857,-0.294601,-0.0493,-0.550487,-0.218829,0.242684,0.760693,-0.534709,0.18503,-0.37864,0.669898,-0.945944,-0.94307,-0.35895,0.170301,-0.310713,0.621431,-1.833948,-1.166109
-0.006454,-0.006526,0.356258,0.053327,0.085485,-0.090429,0.990793,-0.606159,0.227325,0.273009,0.69515,-0.300878,-0.035234,-0.560694,-0.22203,0.255881,0.763224,-0.535486,0.183057,-0.399164,0.649604,-0.976885,-0.849421,-0.377352,0.159138,-0.313346,0.643325,-1.840195,-1.133723
-0.007145,-0.0052,0.35629,0.054852,0.090346,-0.102134,0.98914,-0.613976,0.236813,0.293441,0.705839,-0.300034,-0.044365,-0.584996,-0.215408,0.284565,0.760856,-0.525052,0.180494,-0.421029,0.653788,-1.069624,-0.751445,-0.409978,0.157618,-0.336725,0.667158,-1.858402,-1.132517
-0.00694,-0.003933,0.356185,0.05609,0.094758,-0.115335,0.987204,-0.617455,0.248785,0.307407,0.715486,-0.309139,-0.052133,-0.607559,-0.206389,0.311299,0.764919,-0.521003,0.175012,-0.430634,0.670856,-1.214714,-0.660489,-0.424758,0.158304,-0.375625,0.679574,-1.879748,-1.142798
-0.006248,-0.002806,0.35595,0.056291,0.101498,-0.119085,0.986077,-0.628142,0.254944,0.318325,0.719964,-0.31453,-0.065949,-0.626539,-0.201762,0.322223,0.769863,-0.519669,0.164344,-0.459831,0.655336,-1.370215,-0.556316,-0.44924,0.143652,-0.415523,0.687736,-1.909999,-1.137351
-0.007502,-0.002238,0.356612,0.055477,0.106012,-0.104129,0.98734,-0.656066,0.243901,0.279963,0.704981,-0.286817,-0.079952,-0.622328,-0.211587,0.291333,0.758013,-0.513789,0.149722,-0.573689,0.495929,-1.620014,-0.339411,-0.384875,0.139329,-0.391175,0.657468,-1.91,-1.197319
-0.002396,-0.00179,0.357606,0.052668,0.105738,-0.059618,0.991207,-0.670836,0.196184,0.196168,0.679139,-0.27401,-0.084708,-0.549523,-0.253187,0.191213,0.740822,-0.547902,0.131011,-0.687672,0.382384,-1.683249,-0.272351,-0.362326,0.082866,-0.390754,0.623323,-1.91,-1.12792
0.00134,-1.7e-05,0.35827,0.05431,0.102203,0.021912,0.993038,-0.697034,0.095374,0.06827,0.630547,-0.223002,-0.073825,-0.431624,-0.329286,0.013332,0.719958,-0.587287,0.135675,-0.853423,0.217124,-1.618203,-0.283662,-0.32173,0.064647,-0.353568,0.572812,-1.91,-1.102162
0.00781,0.0012,0.356341,0.053996,0.10131,0.122316,0.985829,-0.71827,-0.013064,-0.093326,0.577352,-0.167553,-0.091942,-0.280868,-0.387116,-0.21499,0.720652,-0.657072,0.149961,-1.018179,0.031105,-1.445484,-0.347447,-0.247274,0.037761,-0.273328,0.443166,-1.91,-1.146208
0.01209,-0.000577,0.353937,0.041993,0.098681,0.216378,0.970401,-0.746646,-0.084755,-0.263187,0.54522,-0.112183,-0.129008,-0.135034,-0.370594,-0.421652,0.694187,-0.687893,0.173388,-1.08052,-0.070342,-1.248186,-0.508906,-0.138356,-0.039047,-0.185015,0.367972,-1.91,-1.233695
0.015455,-0.004248,0.352281,0.026711,0.078723,0.293501,0.952337,-0.739579,-0.127956,-0.406027,0.539607,-0.088014,-0.151872,0.016005,-0.291105,-0.580974,0.635358,-0.696294,0.180177,-0.981901,-0.062558,-1.065925,-0.785602,-0.014921,-0.206773,-0.150822,0.332502,-1.91,-1.174272
