root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.716712,0.18717,0.356918,0.039644,0.174627,-0.122822,0.97614,-1.013266,0.07353,-0.085243,0.400017,0.042699,0.021937,-0.497026,-0.096889,-0.16325,0.348593,-0.291105,-0.02222,-0.101682,0.209731,0.081527,-0.3341,-0.01932,-0.138075,-0.326203,0.199937,-0.680429,0.102163
-0.707879,0.187267,0.355103,0.036513,0.181459,-0.12287,0.975009,-1.030825,0.083944,-0.094582,0.362552,0.069898,0.021302,-0.488014,-0.102452,-0.18196,0.348489,-0.310067,-0.016573,-0.090158,0.215283,0.081774,-0.308642,-0.016717,-0.141821,-0.323702,0.217002,-0.686362,0.100055
-0.698216,0.187572,0.354015,0.033264,0.188653,-0.123591,0.973668,-1.049394,0.092683,-0.103031,0.350452,0.083393,0.021925,-0.473158,-0.105576,-0.191647,0.341283,-0.32464,-0.004087,-0.083913,0.221022,0.083028,-0.280752,-0.01425,-0.146394,-0.323217,0.232913,-0.693708,0.097655
-0.68768,0.188499,0.353191,0.031106,0.196647,-0.127002,0.971716,-1.063593,0.095304,-0.103471,0.360023,0.089473,0.022784,-0.458599,-0.113051,-0.191748,0.337699,-0.3285,0.012491,-0.080779,0.222867,0.091278,-0.254319,-0.011225,-0.150532,-0.326799,0.247934,-0.701994,0.102113
-0.676002,0.190113,0.350726,0.030322,0.201174,-0.130834,0.970305,-1.074466,0.089703,-0.101627,0.399131,0.100928,0.020826,-0.444621,-0.127154,-0.19356,0.343908,-0.333658,0.024817,-0.076147,0.216758,0.095142,-0.223475,-0.002791,-0.139719,-0.337132,0.256055,-0.719792,0.098176
-0.663991,0.191941,0.349816,0.030409,0.208777,-0.134099,0.968248,-1.097018,0.075149,-0.110742,0.461029,0.121974,0.0227,-0.440088,-0.139162,-0.177007,0.360982,-0.321685,0.041023,-0.079052,0.212626,0.100952,-0.206697,-0.001935,-0.130703,-0.348436,0.250755,-0.743029,0.104115
-0.651462,0.194057,0.351888,0.031033,0.220084,-0.136722,0.965353,-1.120516,0.059677,-0.113034,0.52216,0.135654,0.015554,-0.451476,-0.153508,-0.16228,0.388573,-0.284219,0.050411,-0.098349,0.208953,0.090725,-0.190157,-0.005723,-0.127286,-0.360122,0.235057,-0.757422,0.117523
-0.638246,0.196173,0.354516,0.032223,0.228004,-0.14059,0.962918,-1.115201,0.053055,-0.093568,0.546908,0.127015,0.022315,-0.471817,-0.172273,-0.141928,0.440718,-0.226877,0.04988,-0.121987,0.200612,0.067592,-0.169772,-0.017476,-0.117631,-0.368448,0.217474,-0.763229,0.115801
-0.624762,0.19802,0.356489,0.031737,0.23372,-0.146688,0.960651,-1.088024,0.047078,-0.081451,0.544578,0.106557,0.039474,-0.511474,-0.185229,-0.118877,0.531137,-0.158277,0.065492,-0.141495,0.198767,0.050932,-0.165197,-0.019941,-0.105505,-0.371302,0.198514,-0.765515,0.107004
-0.611636,0.19921,0.358105,0.030282,0.239802,-0.150384,0.958625,-1.055184,0.044117,-0.068682,0.523696,0.040696,0.112322,-0.556983,-0.185166,-0.092086,0.625457,0.011547,-0.043581,-0.16501,0.205865,0.042254,-0.186405,-0.034448,-0.094187,-0.370158,0.182728,-0.765836,0.09847
-0.598544,0.200155,0.359792,0.029599,0.247531,-0.154463,0.95603,-1.02096,0.044952,-0.050096,0.498493,0.001938,0.126468,-0.627365,-0.178854,-0.074513,0.74445,0.119652,-0.043962,-0.194325,0.214695,0.011124,-0.20512,-0.030129,-0.083095,-0.370534,0.161357,-0.763372,0.082138
-0.586176,0.200449,0.36172,0.028596,0.259238,-0.1607,0.951921,-0.986708,0.051959,-0.027658,0.461932,-0.029645,0.128105,-0.715061,-0.165254,-0.061422,0.869485,0.155375,-0.048324,-0.237394,0.231207,-0.001413,-0.226018,-0.033123,-0.083061,-0.36145,0.149888,-0.757918,0.07068
-0.573536,0.199827,0.362518,0.027429,0.26515,-0.167031,0.949233,-0.946685,0.058307,-0.011046,0.431452,-0.046799,0.108799,-0.786269,-0.142571,-0.039148,0.964611,0.166735,-0.029432,-0.278158,0.253994,-0.026469,-0.248927,-0.037964,-0.076087,-0.350988,0.14378,-0.746617,0.057707
-0.561954,0.198783,0.363349,0.02781,0.271067,-0.174087,0.946278,-0.910089,0.062745,0.00978,0.403001,-0.052736,0.105009,-0.866356,-0.114905,-0.019216,1.040463,0.140228,-0.02382,-0.333488,0.278244,-0.039344,-0.264103,-0.053609,-0.073307,-0.336726,0.135254,-0.729582,0.046695
-0.549403,0.197323,0.363147,0.028894,0.269765,-0.182064,0.945116,-0.857565,0.060841,0.029997,0.376927,-0.063332,0.101077,-0.926285,-0.084682,0.000219,1.087004,0.11087,-0.023782,-0.378529,0.297656,-0.055601,-0.280601,-0.060075,-0.056575,-0.328148,0.133113,-0.708341,0.041863
-0.537661,0.195798,0.363054,0.031038,0.278465,-0.193296,0.940282,-0.823977,0.061457,0.050185,0.350889,-0.083376,0.097774,-1.003678,-0.052664,0.010608,1.101609,0.06635,-0.01891,-0.434437,0.318546,-0.058742,-0.312314,-0.069677,-0.057475,-0.318849,0.130531,-0.695591,0.046517
-0.525828,0.193767,0.362614,0.030497,0.280807,-0.205636,0.93698,-0.783621,0.064419,0.069123,0.336873,-0.109475,0.11965,-1.066562,-0.018438,0.012122,1.094144,0.020957,-0.099094,-0.476619,0.342791,-0.056464,-0.347464,-0.068081,-0.049336,-0.306623,0.125683,-0.678134,0.049045
-0.513417,0.191201,0.361837,0.031073,0.28651,-0.219764,0.932014,-0.748717,0.070233,0.099619,0.321941,-0.141967,0.107875,-1.129883,0.010071,0.008256,1.05725,-0.039952,-0.092726,-0.500024,0.371994,-0.060035,-0.417464,-0.072908,-0.041675,-0.297327,0.112951,-0.671755,0.051831
-0.500777,0.188027,0.360837,0.032445,0.29279,-0.236405,0.925923,-0.716194,0.074977,0.134543,0.308192,-0.174537,0.096191,-1.189989,0.040723,0.003027,0.996369,-0.097314,-0.096599,-0.517361,0.405053,-0.074315,-0.479762,-0.078261,-0.038164,-0.289079,0.095075,-0.661614,0.051969
-0.488139,0.184188,0.359399,0.03169,0.29663,-0.250174,0.921097,-0.679546,0.079762,0.166536,0.30266,-0.202813,0.082737,-1.236814,0.085041,0.015549,0.931331,-0.092851,-0.092671,-0.533454,0.436581,-0.081834,-0.535983,-0.078349,-0.030274,-0.276606,0.066538,-0.646652,0.050925
-0.475501,0.180178,0.35931,0.035769,0.305526,-0.262563,0.914568,-0.656552,0.079251,0.200662,0.303356,-0.216397,0.059971,-1.293301,0.113613,0.030935,0.856962,-0.106956,-0.084368,-0.567019,0.462302,-0.088679,-0.58125,-0.110238,-0.029522,-0.266071,0.028406,-0.639808,0.050873
-0.461683,0.175218,0.35826,0.038707,0.310615,-0.273508,0.909513,-0.623437,0.076285,0.225309,0.300372,-0.24134,0.031103,-1.336533,0.138448,0.045953,0.781315,-0.115602,-0.07609,-0.578538,0.490661,-0.100958,-0.627703,-0.115082,-0.022913,-0.259959,-0.004827,-0.632018,0.038376
-0.446929,0.17054,0.358897,0.038637,0.30649,-0.284244,0.907621,-0.563682,0.063938,0.222789,0.28744,-0.255263,-0.024864,-1.360058,0.183228,0.097146,0.723975,-0.115161,-0.053466,-0.60419,0.503997,-0.103238,-0.619377,-0.131389,0.007288,-0.275147,-0.04746,-0.630086,-0.018909
-0.431376,0.163774,0.357906,0.042616,0.3095,-0.292271,0.903865,-0.526037,0.058517,0.241808,0.294397,-0.236005,-0.061765,-1.392116,0.20512,0.113988,0.691762,-0.117441,-0.02292,-0.595185,0.537418,-0.129551,-0.667718,-0.126431,0.02104,-0.272611,-0.084039,-0.643537,-0.053046
-0.415123,0.157127,0.356687,0.049595,0.318497,-0.299069,0.898141,-0.510071,0.053033,0.254042,0.317546,-0.185054,-0.090625,-1.433212,0.230478,0.130039,0.723933,-0.109466,-0.003501,-0.586838,0.555284,-0.116131,-0.719957,-0.129688,0.016905,-0.265887,-0.121402,-0.669149,-0.072125
-0.39802,0.149722,0.356125,0.047691,0.315821,-0.307128,0.896468,-0.482707,0.052336,0.262633,0.369462,-0.104156,-0.100739,-1.438381,0.254144,0.113285,0.815242,-0.068228,-0.029287,-0.545976,0.576103,-0.061988,-0.75427,-0.124721,0.019088,-0.251444,-0.137192,-0.687529,-0.054375
